group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion,,,,53775428.0,ns,20
add_remove_component,legion,,,,51548113.0,ns,20
add_remove_component,legion,,,,51683832.0,ns,20
add_remove_component,legion,,,,52845189.0,ns,20
add_remove_component,legion,,,,51435482.0,ns,20
add_remove_component,legion,,,,51576267.0,ns,20
add_remove_component,legion,,,,50460693.0,ns,20
add_remove_component,legion,,,,53600870.0,ns,20
add_remove_component,legion,,,,50030653.0,ns,20
add_remove_component,legion,,,,51756198.0,ns,20
add_remove_component,legion,,,,52260073.0,ns,20
add_remove_component,legion,,,,52975094.0,ns,20
add_remove_component,legion,,,,52351836.0,ns,20
add_remove_component,legion,,,,52030857.0,ns,20
add_remove_component,legion,,,,51866024.0,ns,20
add_remove_component,legion,,,,52201598.0,ns,20
add_remove_component,legion,,,,51386126.0,ns,20
add_remove_component,legion,,,,53664785.0,ns,20
add_remove_component,legion,,,,51455193.0,ns,20
add_remove_component,legion,,,,52733417.0,ns,20
add_remove_component,legion,,,,52089597.0,ns,20
add_remove_component,legion,,,,53244460.0,ns,20
add_remove_component,legion,,,,51641400.0,ns,20
add_remove_component,legion,,,,52168235.0,ns,20
add_remove_component,legion,,,,50615891.0,ns,20
add_remove_component,legion,,,,54599735.0,ns,20
add_remove_component,legion,,,,51399547.0,ns,20
add_remove_component,legion,,,,53240746.0,ns,20
add_remove_component,legion,,,,50607916.0,ns,20
add_remove_component,legion,,,,58273062.0,ns,20
add_remove_component,legion,,,,51368173.0,ns,20
add_remove_component,legion,,,,51603213.0,ns,20
add_remove_component,legion,,,,51785359.0,ns,20
add_remove_component,legion,,,,52189756.0,ns,20
add_remove_component,legion,,,,49847620.0,ns,20
add_remove_component,legion,,,,53139161.0,ns,20
add_remove_component,legion,,,,50813321.0,ns,20
add_remove_component,legion,,,,52264738.0,ns,20
add_remove_component,legion,,,,50486291.0,ns,20
add_remove_component,legion,,,,52505516.0,ns,20
add_remove_component,legion,,,,50972858.0,ns,20
add_remove_component,legion,,,,52270242.0,ns,20
add_remove_component,legion,,,,52244710.0,ns,20
add_remove_component,legion,,,,51377137.0,ns,20
add_remove_component,legion,,,,50262943.0,ns,20
add_remove_component,legion,,,,52599617.0,ns,20
add_remove_component,legion,,,,50791470.0,ns,20
add_remove_component,legion,,,,52960669.0,ns,20
add_remove_component,legion,,,,51667039.0,ns,20
add_remove_component,legion,,,,52683900.0,ns,20
add_remove_component,legion,,,,50289731.0,ns,20
add_remove_component,legion,,,,52918542.0,ns,20
add_remove_component,legion,,,,51788431.0,ns,20
add_remove_component,legion,,,,50755021.0,ns,20
add_remove_component,legion,,,,50989976.0,ns,20
add_remove_component,legion,,,,52093331.0,ns,20
add_remove_component,legion,,,,50185525.0,ns,20
add_remove_component,legion,,,,52485414.0,ns,20
add_remove_component,legion,,,,52475720.0,ns,20
add_remove_component,legion,,,,51753079.0,ns,20
add_remove_component,legion,,,,50909775.0,ns,20
add_remove_component,legion,,,,52115610.0,ns,20
add_remove_component,legion,,,,51013181.0,ns,20
add_remove_component,legion,,,,52448728.0,ns,20
add_remove_component,legion,,,,50830177.0,ns,20
add_remove_component,legion,,,,51554375.0,ns,20
add_remove_component,legion,,,,50701857.0,ns,20
add_remove_component,legion,,,,51028714.0,ns,20
add_remove_component,legion,,,,50637362.0,ns,20
add_remove_component,legion,,,,50958801.0,ns,20
add_remove_component,legion,,,,52798228.0,ns,20
add_remove_component,legion,,,,51552311.0,ns,20
add_remove_component,legion,,,,52062080.0,ns,20
add_remove_component,legion,,,,53327172.0,ns,20
add_remove_component,legion,,,,51062954.0,ns,20
add_remove_component,legion,,,,51873149.0,ns,20
add_remove_component,legion,,,,52156987.0,ns,20
add_remove_component,legion,,,,52810621.0,ns,20
add_remove_component,legion,,,,52200232.0,ns,20
add_remove_component,legion,,,,51350506.0,ns,20
add_remove_component,legion,,,,52147577.0,ns,20
add_remove_component,legion,,,,51721808.0,ns,20
add_remove_component,legion,,,,53691213.0,ns,20
add_remove_component,legion,,,,51061755.0,ns,20
add_remove_component,legion,,,,52752672.0,ns,20
add_remove_component,legion,,,,53644242.0,ns,20
add_remove_component,legion,,,,51849002.0,ns,20
add_remove_component,legion,,,,52422352.0,ns,20
add_remove_component,legion,,,,50238265.0,ns,20
add_remove_component,legion,,,,51473322.0,ns,20
add_remove_component,legion,,,,52022924.0,ns,20
add_remove_component,legion,,,,52935471.0,ns,20
add_remove_component,legion,,,,53121739.0,ns,20
add_remove_component,legion,,,,51682627.0,ns,20
add_remove_component,legion,,,,54488682.0,ns,20
add_remove_component,legion,,,,56509749.0,ns,20
add_remove_component,legion,,,,56476803.0,ns,20
add_remove_component,legion,,,,52850540.0,ns,20
add_remove_component,legion,,,,51869718.0,ns,20
add_remove_component,legion,,,,52248690.0,ns,20
