group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,bevy,,,,1004743.0,ns,1953
fragmented_iter,bevy,,,,1932420.0,ns,3906
fragmented_iter,bevy,,,,2997992.0,ns,5859
fragmented_iter,bevy,,,,3932290.0,ns,7812
fragmented_iter,bevy,,,,5054502.0,ns,9765
fragmented_iter,bevy,,,,5954286.0,ns,11718
fragmented_iter,bevy,,,,6973669.0,ns,13671
fragmented_iter,bevy,,,,7947848.0,ns,15624
fragmented_iter,bevy,,,,8851818.0,ns,17577
fragmented_iter,bevy,,,,9814963.0,ns,19530
fragmented_iter,bevy,,,,10865445.0,ns,21483
fragmented_iter,bevy,,,,12062114.0,ns,23436
fragmented_iter,bevy,,,,12750962.0,ns,25389
fragmented_iter,bevy,,,,13766338.0,ns,27342
fragmented_iter,bevy,,,,14975697.0,ns,29295
fragmented_iter,bevy,,,,15687904.0,ns,31248
fragmented_iter,bevy,,,,16847562.0,ns,33201
fragmented_iter,bevy,,,,17760676.0,ns,35154
fragmented_iter,bevy,,,,18754105.0,ns,37107
fragmented_iter,bevy,,,,19826499.0,ns,39060
fragmented_iter,bevy,,,,20859601.0,ns,41013
fragmented_iter,bevy,,,,21382811.0,ns,42966
fragmented_iter,bevy,,,,22625158.0,ns,44919
fragmented_iter,bevy,,,,23711294.0,ns,46872
fragmented_iter,bevy,,,,24389623.0,ns,48825
fragmented_iter,bevy,,,,26180686.0,ns,50778
fragmented_iter,bevy,,,,27326585.0,ns,52731
fragmented_iter,bevy,,,,27421672.0,ns,54684
fragmented_iter,bevy,,,,28658334.0,ns,56637
fragmented_iter,bevy,,,,29648347.0,ns,58590
fragmented_iter,bevy,,,,31611374.0,ns,60543
fragmented_iter,bevy,,,,31688127.0,ns,62496
fragmented_iter,bevy,,,,33106593.0,ns,64449
fragmented_iter,bevy,,,,34539787.0,ns,66402
fragmented_iter,bevy,,,,36005491.0,ns,68355
fragmented_iter,bevy,,,,35696342.0,ns,70308
fragmented_iter,bevy,,,,37173951.0,ns,72261
fragmented_iter,bevy,,,,37178759.0,ns,74214
fragmented_iter,bevy,,,,38477536.0,ns,76167
fragmented_iter,bevy,,,,39746958.0,ns,78120
fragmented_iter,bevy,,,,40306290.0,ns,80073
fragmented_iter,bevy,,,,41692956.0,ns,82026
fragmented_iter,bevy,,,,43241072.0,ns,83979
fragmented_iter,bevy,,,,43364833.0,ns,85932
fragmented_iter,bevy,,,,44089919.0,ns,87885
fragmented_iter,bevy,,,,44995488.0,ns,89838
fragmented_iter,bevy,,,,46786900.0,ns,91791
fragmented_iter,bevy,,,,47726884.0,ns,93744
fragmented_iter,bevy,,,,48706535.0,ns,95697
fragmented_iter,bevy,,,,50113955.0,ns,97650
fragmented_iter,bevy,,,,55283642.0,ns,99603
fragmented_iter,bevy,,,,51730777.0,ns,101556
fragmented_iter,bevy,,,,53352564.0,ns,103509
fragmented_iter,bevy,,,,54035130.0,ns,105462
fragmented_iter,bevy,,,,53945757.0,ns,107415
fragmented_iter,bevy,,,,55451448.0,ns,109368
fragmented_iter,bevy,,,,56509947.0,ns,111321
fragmented_iter,bevy,,,,58605216.0,ns,113274
fragmented_iter,bevy,,,,58969832.0,ns,115227
fragmented_iter,bevy,,,,59589692.0,ns,117180
fragmented_iter,bevy,,,,61042250.0,ns,119133
fragmented_iter,bevy,,,,60861210.0,ns,121086
fragmented_iter,bevy,,,,63232325.0,ns,123039
fragmented_iter,bevy,,,,63078643.0,ns,124992
fragmented_iter,bevy,,,,64230734.0,ns,126945
fragmented_iter,bevy,,,,65047486.0,ns,128898
fragmented_iter,bevy,,,,66204413.0,ns,130851
fragmented_iter,bevy,,,,68023167.0,ns,132804
fragmented_iter,bevy,,,,67932971.0,ns,134757
fragmented_iter,bevy,,,,69022261.0,ns,136710
fragmented_iter,bevy,,,,70624936.0,ns,138663
fragmented_iter,bevy,,,,71753397.0,ns,140616
fragmented_iter,bevy,,,,71345041.0,ns,142569
fragmented_iter,bevy,,,,72923727.0,ns,144522
fragmented_iter,bevy,,,,75404630.0,ns,146475
fragmented_iter,bevy,,,,75899663.0,ns,148428
fragmented_iter,bevy,,,,77015905.0,ns,150381
fragmented_iter,bevy,,,,77943781.0,ns,152334
fragmented_iter,bevy,,,,79934187.0,ns,154287
fragmented_iter,bevy,,,,79719538.0,ns,156240
fragmented_iter,bevy,,,,80262988.0,ns,158193
fragmented_iter,bevy,,,,82968787.0,ns,160146
fragmented_iter,bevy,,,,82260657.0,ns,162099
fragmented_iter,bevy,,,,83368106.0,ns,164052
fragmented_iter,bevy,,,,85203172.0,ns,166005
fragmented_iter,bevy,,,,86436030.0,ns,167958
fragmented_iter,bevy,,,,86164480.0,ns,169911
fragmented_iter,bevy,,,,87301663.0,ns,171864
fragmented_iter,bevy,,,,87885696.0,ns,173817
fragmented_iter,bevy,,,,89050778.0,ns,175770
fragmented_iter,bevy,,,,89901142.0,ns,177723
fragmented_iter,bevy,,,,92127019.0,ns,179676
fragmented_iter,bevy,,,,92098611.0,ns,181629
fragmented_iter,bevy,,,,93446914.0,ns,183582
fragmented_iter,bevy,,,,95269489.0,ns,185535
fragmented_iter,bevy,,,,97459063.0,ns,187488
fragmented_iter,bevy,,,,96864638.0,ns,189441
fragmented_iter,bevy,,,,97720545.0,ns,191394
fragmented_iter,bevy,,,,98403476.0,ns,193347
fragmented_iter,bevy,,,,101292826.0,ns,195300
