group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion,,,,978546.0,ns,2116
fragmented_iter,legion,,,,1990611.0,ns,4232
fragmented_iter,legion,,,,3011295.0,ns,6348
fragmented_iter,legion,,,,3990396.0,ns,8464
fragmented_iter,legion,,,,4937503.0,ns,10580
fragmented_iter,legion,,,,5908762.0,ns,12696
fragmented_iter,legion,,,,6924065.0,ns,14812
fragmented_iter,legion,,,,7824828.0,ns,16928
fragmented_iter,legion,,,,8805158.0,ns,19044
fragmented_iter,legion,,,,9782419.0,ns,21160
fragmented_iter,legion,,,,10829897.0,ns,23276
fragmented_iter,legion,,,,11822083.0,ns,25392
fragmented_iter,legion,,,,12766964.0,ns,27508
fragmented_iter,legion,,,,13800364.0,ns,29624
fragmented_iter,legion,,,,14802723.0,ns,31740
fragmented_iter,legion,,,,15773481.0,ns,33856
fragmented_iter,legion,,,,16747270.0,ns,35972
fragmented_iter,legion,,,,17721874.0,ns,38088
fragmented_iter,legion,,,,18825650.0,ns,40204
fragmented_iter,legion,,,,23384123.0,ns,42320
fragmented_iter,legion,,,,20751045.0,ns,44436
fragmented_iter,legion,,,,21638686.0,ns,46552
fragmented_iter,legion,,,,22775272.0,ns,48668
fragmented_iter,legion,,,,23617562.0,ns,50784
fragmented_iter,legion,,,,24585407.0,ns,52900
fragmented_iter,legion,,,,25588549.0,ns,55016
fragmented_iter,legion,,,,29011992.0,ns,57132
fragmented_iter,legion,,,,29079536.0,ns,59248
fragmented_iter,legion,,,,30023878.0,ns,61364
fragmented_iter,legion,,,,31650743.0,ns,63480
fragmented_iter,legion,,,,32631811.0,ns,65596
fragmented_iter,legion,,,,33675016.0,ns,67712
fragmented_iter,legion,,,,36980295.0,ns,69828
fragmented_iter,legion,,,,48637447.0,ns,71944
fragmented_iter,legion,,,,37290982.0,ns,74060
fragmented_iter,legion,,,,38608187.0,ns,76176
fragmented_iter,legion,,,,40730554.0,ns,78292
fragmented_iter,legion,,,,40169693.0,ns,80408
fragmented_iter,legion,,,,41090108.0,ns,82524
fragmented_iter,legion,,,,41817620.0,ns,84640
fragmented_iter,legion,,,,41982048.0,ns,86756
fragmented_iter,legion,,,,42883232.0,ns,88872
fragmented_iter,legion,,,,43923865.0,ns,90988
fragmented_iter,legion,,,,48000432.0,ns,93104
fragmented_iter,legion,,,,47798981.0,ns,95220
fragmented_iter,legion,,,,48548292.0,ns,97336
fragmented_iter,legion,,,,46664243.0,ns,99452
fragmented_iter,legion,,,,47287673.0,ns,101568
fragmented_iter,legion,,,,48753180.0,ns,103684
fragmented_iter,legion,,,,49614277.0,ns,105800
fragmented_iter,legion,,,,50269206.0,ns,107916
fragmented_iter,legion,,,,51238869.0,ns,110032
fragmented_iter,legion,,,,52258641.0,ns,112148
fragmented_iter,legion,,,,53206574.0,ns,114264
fragmented_iter,legion,,,,54768940.0,ns,116380
fragmented_iter,legion,,,,55637623.0,ns,118496
fragmented_iter,legion,,,,56182688.0,ns,120612
fragmented_iter,legion,,,,57177943.0,ns,122728
fragmented_iter,legion,,,,58448785.0,ns,124844
fragmented_iter,legion,,,,59752386.0,ns,126960
fragmented_iter,legion,,,,60325629.0,ns,129076
fragmented_iter,legion,,,,61278550.0,ns,131192
fragmented_iter,legion,,,,62078301.0,ns,133308
fragmented_iter,legion,,,,62805747.0,ns,135424
fragmented_iter,legion,,,,63916140.0,ns,137540
fragmented_iter,legion,,,,64922152.0,ns,139656
fragmented_iter,legion,,,,66435664.0,ns,141772
fragmented_iter,legion,,,,67448042.0,ns,143888
fragmented_iter,legion,,,,67961323.0,ns,146004
fragmented_iter,legion,,,,69295524.0,ns,148120
fragmented_iter,legion,,,,70597913.0,ns,150236
fragmented_iter,legion,,,,71053463.0,ns,152352
fragmented_iter,legion,,,,72239065.0,ns,154468
fragmented_iter,legion,,,,72934501.0,ns,156584
fragmented_iter,legion,,,,73773163.0,ns,158700
fragmented_iter,legion,,,,75158455.0,ns,160816
fragmented_iter,legion,,,,76015047.0,ns,162932
fragmented_iter,legion,,,,78067360.0,ns,165048
fragmented_iter,legion,,,,83511808.0,ns,167164
fragmented_iter,legion,,,,81173974.0,ns,169280
fragmented_iter,legion,,,,79782288.0,ns,171396
fragmented_iter,legion,,,,85672364.0,ns,173512
fragmented_iter,legion,,,,87253433.0,ns,175628
fragmented_iter,legion,,,,89046509.0,ns,177744
fragmented_iter,legion,,,,90017907.0,ns,179860
fragmented_iter,legion,,,,90359971.0,ns,181976
fragmented_iter,legion,,,,92495079.0,ns,184092
fragmented_iter,legion,,,,92523251.0,ns,186208
fragmented_iter,legion,,,,95015835.0,ns,188324
fragmented_iter,legion,,,,95030247.0,ns,190440
fragmented_iter,legion,,,,89514766.0,ns,192556
fragmented_iter,legion,,,,90650514.0,ns,194672
fragmented_iter,legion,,,,92092727.0,ns,196788
fragmented_iter,legion,,,,92570973.0,ns,198904
fragmented_iter,legion,,,,93311950.0,ns,201020
fragmented_iter,legion,,,,95013143.0,ns,203136
fragmented_iter,legion,,,,96683421.0,ns,205252
fragmented_iter,legion,,,,98449848.0,ns,207368
fragmented_iter,legion,,,,104036956.0,ns,209484
fragmented_iter,legion,,,,105468418.0,ns,211600
