group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,1857892.0,ns,1
heavy_compute,bevy,,,,2397388.0,ns,2
heavy_compute,bevy,,,,3397038.0,ns,3
heavy_compute,bevy,,,,4563118.0,ns,4
heavy_compute,bevy,,,,5989285.0,ns,5
heavy_compute,bevy,,,,5772609.0,ns,6
heavy_compute,bevy,,,,6680939.0,ns,7
heavy_compute,bevy,,,,10466571.0,ns,8
heavy_compute,bevy,,,,10028146.0,ns,9
heavy_compute,bevy,,,,8838572.0,ns,10
heavy_compute,bevy,,,,11287523.0,ns,11
heavy_compute,bevy,,,,12493324.0,ns,12
heavy_compute,bevy,,,,14389434.0,ns,13
heavy_compute,bevy,,,,12413528.0,ns,14
heavy_compute,bevy,,,,14002195.0,ns,15
heavy_compute,bevy,,,,16520702.0,ns,16
heavy_compute,bevy,,,,15984897.0,ns,17
heavy_compute,bevy,,,,16670944.0,ns,18
heavy_compute,bevy,,,,20770945.0,ns,19
heavy_compute,bevy,,,,23990265.0,ns,20
heavy_compute,bevy,,,,21286466.0,ns,21
heavy_compute,bevy,,,,23598132.0,ns,22
heavy_compute,bevy,,,,21462045.0,ns,23
heavy_compute,bevy,,,,25835182.0,ns,24
heavy_compute,bevy,,,,25443340.0,ns,25
heavy_compute,bevy,,,,26593662.0,ns,26
heavy_compute,bevy,,,,25993050.0,ns,27
heavy_compute,bevy,,,,24484500.0,ns,28
heavy_compute,bevy,,,,31403059.0,ns,29
heavy_compute,bevy,,,,26795858.0,ns,30
heavy_compute,bevy,,,,26780527.0,ns,31
heavy_compute,bevy,,,,32678652.0,ns,32
heavy_compute,bevy,,,,34552068.0,ns,33
heavy_compute,bevy,,,,37815277.0,ns,34
heavy_compute,bevy,,,,40390760.0,ns,35
heavy_compute,bevy,,,,41538982.0,ns,36
heavy_compute,bevy,,,,49646606.0,ns,37
heavy_compute,bevy,,,,42443840.0,ns,38
heavy_compute,bevy,,,,36104096.0,ns,39
heavy_compute,bevy,,,,47402072.0,ns,40
heavy_compute,bevy,,,,52033606.0,ns,41
heavy_compute,bevy,,,,37922178.0,ns,42
heavy_compute,bevy,,,,37177508.0,ns,43
heavy_compute,bevy,,,,47026363.0,ns,44
heavy_compute,bevy,,,,46264142.0,ns,45
heavy_compute,bevy,,,,43556282.0,ns,46
heavy_compute,bevy,,,,47092378.0,ns,47
heavy_compute,bevy,,,,42753870.0,ns,48
heavy_compute,bevy,,,,45034541.0,ns,49
heavy_compute,bevy,,,,43384335.0,ns,50
heavy_compute,bevy,,,,44003960.0,ns,51
heavy_compute,bevy,,,,44220680.0,ns,52
heavy_compute,bevy,,,,44982263.0,ns,53
heavy_compute,bevy,,,,46226044.0,ns,54
heavy_compute,bevy,,,,47472994.0,ns,55
heavy_compute,bevy,,,,47881596.0,ns,56
heavy_compute,bevy,,,,49727242.0,ns,57
heavy_compute,bevy,,,,51075775.0,ns,58
heavy_compute,bevy,,,,55148759.0,ns,59
heavy_compute,bevy,,,,50750085.0,ns,60
heavy_compute,bevy,,,,51755515.0,ns,61
heavy_compute,bevy,,,,53173929.0,ns,62
heavy_compute,bevy,,,,54301479.0,ns,63
heavy_compute,bevy,,,,54213668.0,ns,64
heavy_compute,bevy,,,,54822725.0,ns,65
heavy_compute,bevy,,,,55849241.0,ns,66
heavy_compute,bevy,,,,57439823.0,ns,67
heavy_compute,bevy,,,,57588677.0,ns,68
heavy_compute,bevy,,,,58683355.0,ns,69
heavy_compute,bevy,,,,59179311.0,ns,70
heavy_compute,bevy,,,,60561621.0,ns,71
heavy_compute,bevy,,,,61468602.0,ns,72
heavy_compute,bevy,,,,62107946.0,ns,73
heavy_compute,bevy,,,,63029494.0,ns,74
heavy_compute,bevy,,,,64958976.0,ns,75
heavy_compute,bevy,,,,66477338.0,ns,76
heavy_compute,bevy,,,,65817652.0,ns,77
heavy_compute,bevy,,,,66202855.0,ns,78
heavy_compute,bevy,,,,72617616.0,ns,79
heavy_compute,bevy,,,,69436715.0,ns,80
heavy_compute,bevy,,,,70471415.0,ns,81
heavy_compute,bevy,,,,69992085.0,ns,82
heavy_compute,bevy,,,,71015349.0,ns,83
heavy_compute,bevy,,,,71274047.0,ns,84
heavy_compute,bevy,,,,72839089.0,ns,85
heavy_compute,bevy,,,,72885470.0,ns,86
heavy_compute,bevy,,,,74374266.0,ns,87
heavy_compute,bevy,,,,74688293.0,ns,88
heavy_compute,bevy,,,,76063841.0,ns,89
heavy_compute,bevy,,,,75968362.0,ns,90
heavy_compute,bevy,,,,77975362.0,ns,91
heavy_compute,bevy,,,,81104092.0,ns,92
heavy_compute,bevy,,,,79111560.0,ns,93
heavy_compute,bevy,,,,82136871.0,ns,94
heavy_compute,bevy,,,,85978804.0,ns,95
heavy_compute,bevy,,,,81055475.0,ns,96
heavy_compute,bevy,,,,83139927.0,ns,97
heavy_compute,bevy,,,,84126979.0,ns,98
heavy_compute,bevy,,,,85399506.0,ns,99
heavy_compute,bevy,,,,85236479.0,ns,100
