group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion,,,,2864072.0,ns,2
heavy_compute,legion,,,,3425004.0,ns,4
heavy_compute,legion,,,,4954111.0,ns,6
heavy_compute,legion,,,,7860388.0,ns,8
heavy_compute,legion,,,,8372494.0,ns,10
heavy_compute,legion,,,,9217315.0,ns,12
heavy_compute,legion,,,,11341661.0,ns,14
heavy_compute,legion,,,,14873269.0,ns,16
heavy_compute,legion,,,,17959784.0,ns,18
heavy_compute,legion,,,,20764753.0,ns,20
heavy_compute,legion,,,,20860579.0,ns,22
heavy_compute,legion,,,,23157473.0,ns,24
heavy_compute,legion,,,,26036876.0,ns,26
heavy_compute,legion,,,,23969723.0,ns,28
heavy_compute,legion,,,,26910015.0,ns,30
heavy_compute,legion,,,,30715385.0,ns,32
heavy_compute,legion,,,,32344219.0,ns,34
heavy_compute,legion,,,,34605535.0,ns,36
heavy_compute,legion,,,,34730148.0,ns,38
heavy_compute,legion,,,,35981334.0,ns,40
heavy_compute,legion,,,,37778807.0,ns,42
heavy_compute,legion,,,,41209917.0,ns,44
heavy_compute,legion,,,,38286471.0,ns,46
heavy_compute,legion,,,,45376771.0,ns,48
heavy_compute,legion,,,,43169756.0,ns,50
heavy_compute,legion,,,,47855388.0,ns,52
heavy_compute,legion,,,,49339958.0,ns,54
heavy_compute,legion,,,,50413926.0,ns,56
heavy_compute,legion,,,,57988352.0,ns,58
heavy_compute,legion,,,,55332229.0,ns,60
heavy_compute,legion,,,,57938797.0,ns,62
heavy_compute,legion,,,,56464643.0,ns,64
heavy_compute,legion,,,,56176979.0,ns,66
heavy_compute,legion,,,,56945411.0,ns,68
heavy_compute,legion,,,,53721096.0,ns,70
heavy_compute,legion,,,,55476380.0,ns,72
heavy_compute,legion,,,,67204162.0,ns,74
heavy_compute,legion,,,,76623719.0,ns,76
heavy_compute,legion,,,,66685709.0,ns,78
heavy_compute,legion,,,,64633088.0,ns,80
heavy_compute,legion,,,,70631552.0,ns,82
heavy_compute,legion,,,,63784323.0,ns,84
heavy_compute,legion,,,,71430052.0,ns,86
heavy_compute,legion,,,,67240678.0,ns,88
heavy_compute,legion,,,,73874621.0,ns,90
heavy_compute,legion,,,,75430247.0,ns,92
heavy_compute,legion,,,,75600633.0,ns,94
heavy_compute,legion,,,,73261643.0,ns,96
heavy_compute,legion,,,,74925356.0,ns,98
heavy_compute,legion,,,,88483531.0,ns,100
heavy_compute,legion,,,,84373582.0,ns,102
heavy_compute,legion,,,,80059049.0,ns,104
heavy_compute,legion,,,,82146737.0,ns,106
heavy_compute,legion,,,,82376349.0,ns,108
heavy_compute,legion,,,,83956504.0,ns,110
heavy_compute,legion,,,,86259240.0,ns,112
heavy_compute,legion,,,,87248889.0,ns,114
heavy_compute,legion,,,,92530529.0,ns,116
heavy_compute,legion,,,,89833989.0,ns,118
heavy_compute,legion,,,,97739727.0,ns,120
heavy_compute,legion,,,,111017652.0,ns,122
heavy_compute,legion,,,,119147808.0,ns,124
heavy_compute,legion,,,,113017887.0,ns,126
heavy_compute,legion,,,,116242604.0,ns,128
heavy_compute,legion,,,,120671996.0,ns,130
heavy_compute,legion,,,,118652308.0,ns,132
heavy_compute,legion,,,,115607990.0,ns,134
heavy_compute,legion,,,,103774488.0,ns,136
heavy_compute,legion,,,,117584313.0,ns,138
heavy_compute,legion,,,,128101087.0,ns,140
heavy_compute,legion,,,,128327736.0,ns,142
heavy_compute,legion,,,,126595619.0,ns,144
heavy_compute,legion,,,,138171184.0,ns,146
heavy_compute,legion,,,,139433087.0,ns,148
heavy_compute,legion,,,,136053714.0,ns,150
heavy_compute,legion,,,,141087686.0,ns,152
heavy_compute,legion,,,,122541638.0,ns,154
heavy_compute,legion,,,,133817750.0,ns,156
heavy_compute,legion,,,,144871269.0,ns,158
heavy_compute,legion,,,,139979296.0,ns,160
heavy_compute,legion,,,,151912922.0,ns,162
heavy_compute,legion,,,,148633417.0,ns,164
heavy_compute,legion,,,,149617945.0,ns,166
heavy_compute,legion,,,,154086831.0,ns,168
heavy_compute,legion,,,,145882542.0,ns,170
heavy_compute,legion,,,,140513162.0,ns,172
heavy_compute,legion,,,,153309300.0,ns,174
heavy_compute,legion,,,,155591070.0,ns,176
heavy_compute,legion,,,,154995583.0,ns,178
heavy_compute,legion,,,,163497851.0,ns,180
heavy_compute,legion,,,,162495450.0,ns,182
heavy_compute,legion,,,,162054105.0,ns,184
heavy_compute,legion,,,,147754046.0,ns,186
heavy_compute,legion,,,,159968432.0,ns,188
heavy_compute,legion,,,,164670000.0,ns,190
heavy_compute,legion,,,,168997177.0,ns,192
heavy_compute,legion,,,,172858391.0,ns,194
heavy_compute,legion,,,,172936020.0,ns,196
heavy_compute,legion,,,,179132576.0,ns,198
heavy_compute,legion,,,,162892108.0,ns,200
