group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,1060546.0,ns,27
schedule,legion,,,,2348106.0,ns,54
schedule,legion,,,,3388281.0,ns,81
schedule,legion,,,,4297444.0,ns,108
schedule,legion,,,,5880767.0,ns,135
schedule,legion,,,,6755073.0,ns,162
schedule,legion,,,,7137352.0,ns,189
schedule,legion,,,,7669928.0,ns,216
schedule,legion,,,,9694246.0,ns,243
schedule,legion,,,,10831518.0,ns,270
schedule,legion,,,,11641167.0,ns,297
schedule,legion,,,,12214363.0,ns,324
schedule,legion,,,,13673958.0,ns,351
schedule,legion,,,,14127929.0,ns,378
schedule,legion,,,,15076374.0,ns,405
schedule,legion,,,,15842635.0,ns,432
schedule,legion,,,,17064928.0,ns,459
schedule,legion,,,,17878762.0,ns,486
schedule,legion,,,,19450897.0,ns,513
schedule,legion,,,,19960643.0,ns,540
schedule,legion,,,,21338961.0,ns,567
schedule,legion,,,,22580547.0,ns,594
schedule,legion,,,,23580047.0,ns,621
schedule,legion,,,,23927505.0,ns,648
schedule,legion,,,,25376410.0,ns,675
schedule,legion,,,,26591391.0,ns,702
schedule,legion,,,,26712978.0,ns,729
schedule,legion,,,,28211925.0,ns,756
schedule,legion,,,,29848130.0,ns,783
schedule,legion,,,,28993424.0,ns,810
schedule,legion,,,,31393273.0,ns,837
schedule,legion,,,,32435748.0,ns,864
schedule,legion,,,,33031132.0,ns,891
schedule,legion,,,,33913693.0,ns,918
schedule,legion,,,,35125158.0,ns,945
schedule,legion,,,,37072407.0,ns,972
schedule,legion,,,,38501018.0,ns,999
schedule,legion,,,,38436790.0,ns,1026
schedule,legion,,,,40119835.0,ns,1053
schedule,legion,,,,40096371.0,ns,1080
schedule,legion,,,,41191043.0,ns,1107
schedule,legion,,,,42215274.0,ns,1134
schedule,legion,,,,45312450.0,ns,1161
schedule,legion,,,,46451148.0,ns,1188
schedule,legion,,,,46940738.0,ns,1215
schedule,legion,,,,49042086.0,ns,1242
schedule,legion,,,,49565197.0,ns,1269
schedule,legion,,,,50771146.0,ns,1296
schedule,legion,,,,52154722.0,ns,1323
schedule,legion,,,,53963276.0,ns,1350
schedule,legion,,,,54337486.0,ns,1377
schedule,legion,,,,52990781.0,ns,1404
schedule,legion,,,,52847620.0,ns,1431
schedule,legion,,,,55754765.0,ns,1458
schedule,legion,,,,56893298.0,ns,1485
schedule,legion,,,,57606300.0,ns,1512
schedule,legion,,,,57578774.0,ns,1539
schedule,legion,,,,58838737.0,ns,1566
schedule,legion,,,,59366982.0,ns,1593
schedule,legion,,,,60706319.0,ns,1620
schedule,legion,,,,61047209.0,ns,1647
schedule,legion,,,,66523689.0,ns,1674
schedule,legion,,,,62248003.0,ns,1701
schedule,legion,,,,64057258.0,ns,1728
schedule,legion,,,,65457219.0,ns,1755
schedule,legion,,,,65589062.0,ns,1782
schedule,legion,,,,69241202.0,ns,1809
schedule,legion,,,,67936704.0,ns,1836
schedule,legion,,,,71730012.0,ns,1863
schedule,legion,,,,69932075.0,ns,1890
schedule,legion,,,,73013178.0,ns,1917
schedule,legion,,,,74681580.0,ns,1944
schedule,legion,,,,72617261.0,ns,1971
schedule,legion,,,,77638198.0,ns,1998
schedule,legion,,,,75445726.0,ns,2025
schedule,legion,,,,76163381.0,ns,2052
schedule,legion,,,,80448735.0,ns,2079
schedule,legion,,,,80598291.0,ns,2106
schedule,legion,,,,81417294.0,ns,2133
schedule,legion,,,,82455797.0,ns,2160
schedule,legion,,,,85798301.0,ns,2187
schedule,legion,,,,83770265.0,ns,2214
schedule,legion,,,,86431543.0,ns,2241
schedule,legion,,,,85773574.0,ns,2268
schedule,legion,,,,88602691.0,ns,2295
schedule,legion,,,,96472626.0,ns,2322
schedule,legion,,,,96793710.0,ns,2349
schedule,legion,,,,93674581.0,ns,2376
schedule,legion,,,,93521501.0,ns,2403
schedule,legion,,,,93111105.0,ns,2430
schedule,legion,,,,91076883.0,ns,2457
schedule,legion,,,,92875303.0,ns,2484
schedule,legion,,,,91617652.0,ns,2511
schedule,legion,,,,96914964.0,ns,2538
schedule,legion,,,,95085010.0,ns,2565
schedule,legion,,,,94507893.0,ns,2592
schedule,legion,,,,98779937.0,ns,2619
schedule,legion,,,,99251770.0,ns,2646
schedule,legion,,,,102755598.0,ns,2673
schedule,legion,,,,102605297.0,ns,2700
